Phone,Founded,Longitude_4,Country,Location_description_5,Location_description_0,Longitude_0,Latitude_2,Location,City_3,Location_description_4,Longitude_5,Website,Name,Address_5,Location_description_2,Type,Latitude_0,Location_description_1,Latitude_4,City_4,Latitude_1,City_2,Company Size,Address_3,Linked In URL,City_5,Latitude_3,Address_4,Longitude_3,Industry,Location_description_3,Address_2,Address_0,Headquarter,City_0,Longitude_1,Overview,Longitude_2,Latitude_5,City_1,Address_1
null,1998,null,null,null,null,null,null,null,null,null,null,http://commercialpropertyguide.com.au,Commercial Property Guide,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/commercial-property-guide/,null,null,null,null,null,null,null,null,"Beaconsfield, New South Wales",null,null,"Commercial Property Guide is a modern technology commercial property portal that is easy to use  for both buying and leasing commercial real estate in Australia.Discovering commercial real estate - office, retail, industrial or specialised requirements, for lease or for sale has a fresh new approach that is designed to work well on all web devices. .",null,null,null,null
07384 05922,1996,null,null,null,null,null,null,"115 Boundary Street, West End, Brisbane, QLD 4101, AU",null,null,null,http://www.metrofn.com.au/index.cfm?pagecall=searchcommercial&MenuItemID=21674&subject=Commercial,First National Commercial,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/first-national-commercial-metro/,null,null,null,null,null,null,null,null,"Brisbane, QLD",null,null,"First National Commercial is long established in the inner city of Brisbane and our team is competent in leasing or selling your commercial property and development land.First National Commercial Metro agents offer the skills, experience and local knowledge to efficiently manage the full spectrum of commercial property requirements. We are supported by the First National Network with 40 commercial offices in Australia and a wider network of 400 plus residential offices.",null,null,null,null
null,null,null,null,null,null,null,null,"Brisbane, Queensland  AU",null,null,null,http://www.btpinfo.com.au,Business and Technology Precincts by Graystone,null,null,null,null,null,null,null,null,null,null,null,https://www.linkedin.com/company/business-and-technology-precincts/,null,null,null,null,null,null,null,null,null,null,null,"Business and Technology Precincts by Graystone offer companies affordability, accessibility and corporate prestige in three strategic suburban locations. Brisbane Technology Park in Eight Mile Plains is an established precinct located at the junction of the Gateway, Logan and Pacific Motorways.  It is the location of choice for companies at both ends of the spectrum, from small technology-oriented start ups to large established organisations. BTP Northshore Hamilton is an embryonic precinct in a prestigious location, in close proximity to the Australia Trade Coast, International and Domestic airports and only 6km from the CBD. BTP Westlink Green in Darra is an emerging precinct under development in Brisbane's western growth corridor and is strategically positioned adjacent to the Darra station and bus exchange.",null,null,null,null
null,null,null,null,null,null,null,null,"175 Pitt Street, Sydney, NSW 2000, AU",null,null,null,https://www.rcanalytics.com/,Real Capital Analytics Australia,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/real-capital-analytics-australia/,null,null,null,null,null,null,null,null,"Sydney, NSW",null,null,"Real Capital Analytics (RCA) is the authority on the deals, the players and the trends that drive the commercial real estate investment markets. Covering all markets globally, RCA delivers timely and reliable data with unique insight into market participants, pricing, and capital flows. The most active investors, lenders and advisors depend on RCA’s market intelligence to formulate strategy and to source, underwrite and execute deals. An industry pioneer since 2000, RCA has offices in New York, San Jose, London, Amsterdam, Stockholm, Singapore, and Sydney.",null,null,null,null
1300 011 750,2012,null,null,null,null,null,null,"Nerang St, Southport, Queensland 4215, AU",null,null,null,http://www.cospaces.com.au,CoSpaces,null,null,Public Company,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/cospaces/,null,null,null,null,null,null,null,null,"Southport, Queensland",null,null,"CoSpaces is a registered Australian Real Estate Agency who specialise in the design, leasing, and community management of flexible commercial work spaces, innovation communities, and events venues.We partner with landlords, developers and Government to deliver innovation spaces and flexible work spaces. Our services include trust accounting, facility and asset management below 5000m2, concierge, membership on-boarding, marketing and events.Looking to find or lease space? We’re here to help.Whether you have a single asset, wider property portfolio, or existing space you’d like to transform into a flexible workspace offering, CoSpaces can provide consultation services to help achieve world-class outcomes. Our experience and advice focus on community scalability and adoption, effective marketing strategies, and facility management procedures so a ROI can be achieved as effectively and efficiently as possible.CoSpaces can help future proof commercial investments by uncovering new customers, diversifying tenant mix, and return higher yields for property owners.",null,null,null,null
null,1997,null,null,null,null,null,null,"Level 4, 2 Barrack Street, Sydney, NSW 2000, AU",null,null,null,http://commercialportfoliomangement.com.au,Commercial Portfolio Management Pty Ltd,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/commercial-portfolio-management-pty-ltd/,null,null,null,null,null,null,null,null,"Sydney, NSW",null,null,"Commercial Portfolio Management Pty Ltd (CPM) was founded in 1997.Working together with the associated valuation firm, Scott Fullarton Valuations Pty Ltd (SFV), CPM is an integrated property management company headquartered at SFV House 2 Barrack Street, Sydney. CPM's core business is the provision of property and facilities management on behalf of, and in collaboration with, asset owners. With a commitment to employing the best staff, and implementing systems and processes that deliver integrated and efficient property services, CPM draws on the extensive experience and industry knowledge of its people to deliver tailored property management solutions.  In essence, CPM is an 'outsider'​, who has 'insider'​ know-how, providing pro-active, tailored solutions for value enhancement, compliance, cost reduction and risk alleviation purposes.Working with major corporations, syndicates and family groups, CPM’s clients include property trusts, syndicates and high net worth individuals.",null,null,null,null
1800121011,2019,null,null,null,null,null,null,"580 Collins St, Lv. 11, Melbourne, Victoria 3000, AU",null,null,null,http://www.11thspace.com,11th Space,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/the-11th-space/,null,null,null,null,null,null,null,null,"Melbourne, Victoria",null,null,"11th Space is a business hub and incubator located in the heart of Melbourne CBD on Collins St. We exist to empower entrepreneurs through our business growth ecosystem and assist aspiring entrepreneurs to launch their business through the NCubation business incubator program. 11th Space is part of the Navanti Holdings group of diversified businesses in Asia and Australia, with a new hub in Jakarta just launched early this year.",null,null,null,null
null,2013,null,AU,null,null,145.01105,null,"Level 4, 80 Market Street, South Melbourne, Victoria 3205, AU",null,null,null,http://www.thespaceagency.com/,The Space Agency,null,null,Privately Held,-37.803425,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/the-space-agency/,null,null,null,null,null,null,null,"Level 4, 80 Market Street, South Melbourne, Victoria, 3205, AU","South Melbourne, Victoria",South Melbourne,null,"The Space Agency is a place activation consultancy that specialises in transitioning properties from where they are to where they need to be.Activation is a strategic process where on-the-ground activities — including events, retail offers, personalised experiences and community engagement initiatives — are designed and implemented to bring a place to life. We design activations that focus on user experience and result in destinations that are characterful, activated and buzzing with people and life.Whether your property is existing, under-performing, challenging or soon-to-be developed, we will tailor a strategy that drives visitation, positively engages the community, prototypes future space, attracts new operators, increases residential sales and/or boosts commercial outcomes.We work nationally on every scale of property development, including small mixed-use precincts, large-scale urban renewal projects and major greenfield masterplans.In July 2018 we launched our sister company: The Place Agency - a dedicated place management company that bolts-on to building management and development teams, focusing on visitors and tenants on the ground floor.",null,null,null,null
null,null,null,AU,null,Waterfront Place,153.01831,null,"1 Eagle St, Brisbane, Queensland 4051, AU",null,null,null,http://www.waterfrontplace.com.au,Waterfront Place,null,null,null,-27.47126,null,null,null,null,null,null,null,https://www.linkedin.com/company/waterfront-place/,null,null,null,null,null,null,null,"1 Eagle St, Brisbane, Queensland, 4051, AU",null,Brisbane,null,"Waterfront Place holds a commanding position in Brisbane’s premier riverside business precinct and is arguably the city's most iconic and desirable business address, attracting some of Australia’s most influential private and government offices.A towering icon in Brisbane's famous golden triangle business district, with expansive, premium column-free floor plates, timeless architecture, luxurious finishes, sweeping river frontage and spectacular views, Waterfront Place is a premium grade building in every respect that will continue to dominate the corporate landscape.More than a place to work, Waterfront Place is a hub of innovative business accelerators designed to inspire connectivity, collaboration and growth through progressive services that directly benefit tenants, their clients and guests.From Dexus Place to state-of-art business zones and smart technology solutions, to greater tenant wellness and free parking concessions, Waterfront Place is a catalyst for innovation, creating an engaging environment where business can thrive, build relationships, interact seamlessly and elevate thinking to new levels.Waterfront Place's flexible approach to accommodating every business need applies across the board, with the capacity and capability to cater for fresh-thinking boutique businesses of only 10, right through to established big businesses, with clever design allowing adaptability as future progress demands.Further enabling and encouraging new business relationships are features such as super-fast Wi-Fi, state-of-the-art charging stations and plush furnishings for business with a more relaxed, informal attitude.Waterfront Place has long been recognised as an icon in Brisbane business, and now even more so as a landmark for innovating business in a specialised, purpose-built environment where connectivity with a diverse range of high quality tenants promises to unlock new business opportunities, all in an unrivalled location in the Brisbane CBD.",null,null,null,null
null,2015,null,null,null,null,null,null,"Level 6, 23 Hunter Street, Sydney, New South Wales 2000, AU",null,null,null,http://www.onecom.com.au,One Commercial,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/one-commercial/,null,null,null,null,null,null,null,null,"Sydney, New South Wales",null,null,"One Commercial is a leading Industrial & Commercial property advisory based in Sydney.With decades of experience assisting businesses lease, buy and sell industrial and commercial property - we truly partner with you to implement property strategies.Our experts have been responsible for some of Australia's largest investment sales and most complex leases in recent times.One Commercial's team are recognised as true market leaders and innovators receiving multiple industry awards.Let our extensive experience and attention to detail ensure you secure the very best outcome.",null,null,null,null
null,2000,null,null,null,null,null,null,"Level 1, 185 Victoria Square, Adelaide, South Australia 5001, AU",null,null,null,http://www.commercialsa.com.au,Commercial SA,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/commercial-sa/,null,null,null,null,null,null,null,null,"Adelaide, South Australia",null,null,"Commercial SA is a South Australian owned Company based in the heart of Adelaide’s CBD. We proudly service the Commercial and Industrial Real Estate community throughout South Australia.Our Company was founded in the year 2000 by our Company Directors, Evan Florinis and Andrew Turner. Along with our team of Property Professionals, we are constantly striving towards being recognised as the market leaders in our Industry.Specialising in the Sale, Leasing and Property Management of all types of Commercial and Industrial property, Commercial SA continues to lead the industry with innovative marketing strategies and a strong focus on long term client relationships.Our commitment to the Industry has been recognised by both the Real Estate Institute of South Australia and the Real Estate Institute of Australia.We have been proudly recognised as the ""2007, 2012, 2015 and 2016 Agency of the Year - Commercial & Industrial""​ by the Real Estate Institute of South Australia; who have also awarded ""Commercial & Industrial Salesperson of the Year ""​ to Andrew Turner in 2006, 2014 and 2016 and to Evan Florinis in 2007, 2011, 2012 and 2013 respectively. Furthermore we have been recognised as ""Commercial & Industrial Property Management Agency""​ for 6 consecutive years - 2011, 2012, 2013, 2014, 2015 and 2016.  It was also a great honour for Andrew Turner in 2007, and Evan Florinis in 2008 to be awarded as the ""National Commercial & Industrial Salesperson of the Year""​, by the Real Estate Institute of Australia.Commercial SA is the most awarded Commercial and Industrial Agency by both the Real Estate Institute of South Australia and of Australia.",null,null,null,null
07 3290 5383,2007,null,null,null,null,null,null,"3366 Pacific Hwy, Unit 1, Springwood, Queensland 4127, AU",null,null,null,https://raywhitecommercialspringwood.com/,Ray White Commercial Springwood,null,null,Public Company,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/ray-white-commercial-springwood/,null,null,null,null,null,null,null,null,"Springwood, Queensland",null,null,Ray White Commercial Springwood offers exceptional service and we work closely with our clients to achieve the best possible result at all times. We have a team of like minded people who are dedicated to the profession and want to achieve outstanding results for their clients.,null,null,null,null
null,null,null,null,null,null,null,null,"345 Queen St, Brisbane City, Queensland 4000, AU",null,null,null,http://central-plaza.com/,Central Plaza,null,null,null,null,null,null,null,null,null,null,null,https://www.linkedin.com/company/central-plaza/,null,null,null,null,null,null,null,null,null,null,null,"Central Plaza is an A-Grade commercial building in the heart of Brisbane CBD’s Golden Triangle. The building features an impressive array of amenities including:•	40 levels of premium office space with four levels of underground parking•	A unique, striking design by renowned Japanese architect Dr Kisho Kurokawa•	Prime corner location, with a number of public transport options closeby•	Visually-exciting lobby and newly upgraded end-of-trip facilities",null,null,null,null
0737209090,2007,null,null,null,null,null,null,"5 Gardner Close, Suite 3, Level 1,, MILTON, Queensland 4064, AU",null,null,null,http://www.falproperty.com.au,FAL Property Group,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/falproperty/,null,null,null,null,null,null,null,null,"MILTON, Queensland",null,null,"FAL Property Group, originally trading under FAL Commercial, is a leading agency in South-East Queensland specialising in the sale, leasing and management of commercial properties. Its focus is on the retail, industrial and office sectors.The company strives to be the best independent agency in Brisbane whilst employing the top real estate agents and property managers in the market.FAL Property Group focus its efforts on achieving the best possible results for its clients in order to build long term relationships and ensure the growth and prosperity of its client's investments.",null,null,null,null
null,2016,null,null,null,null,null,null,"1 William St, Brisbane, Queensland 4000, AU",null,null,null,https://www.1williamstreet.com/,1 William Street,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/1william-street-brisbane/,null,null,null,null,null,null,null,null,"Brisbane, Queensland",null,null,"1 William Street is a stunning 75,000 sqm office tower occupying one of Brisbane’s most prominent locations on the Brisbane River, bound by the City Botanic Gardens and within the coveted Government precinct of Brisbane City.The building is a 43 level A-Grade office tower and houses the Queensland State Government and public service.The tower was built in 2016 and is one of Brisbane CBD’s most environmentally efficient office buildings, taking the global sustainability stage in 2018 when it was awarded a 6 Star Green Star performance rating.",null,null,null,null
null,2011,null,null,null,null,null,null,"16 Brookhollow Ave, Norwest, New South Wales 2153, AU",null,null,null,http://www.taylornicholas.com.au/,Taylor Nicholas Hills District,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/taylor-nicholas-hills-district/,null,null,null,null,null,null,null,null,"Norwest, New South Wales",null,null,"Based in the Hills of north-western Sydney, Taylor Nicholas Hills District specialises in all aspects of commercial and industrial property – selling, leasing and managing a comprehensive range of real estate.With much of our new business channelled through referrals from existing satisfied clients, we deal extensively with property developers along with major organisations like banks, insurance companies and retail groups. We help clients build and manage their industrial and commercial property investment portfolios, providing the ultimate financial future-proofing.We sell and lease properties to tradespeople, new businesses and retailers assisting them as they grow and their property needs change.Our aim? To help our clients attain financial freedom through astute acquisition and management of property. Our unrivalled knowledge of the Hills District keeps us abreast of the latest property news, trends and opportunities – essential advice we pass on to our clients.Recognised as a leading real estate agency in the Hills District, we have won respect for our honesty, expertise and highly professional approach to commercial and industrial property matters.",null,null,null,null
null,2020,null,null,null,null,null,null,"Sydney, NSW  AU",null,null,null,http://www.liminalprop.com.au,Liminal Property Solutions,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/liminalprop/,null,null,null,null,null,null,null,null,"Sydney, NSW",null,null,"We are living in a fast paced, ever changing world of instant gratification, information overload and extreme technological transformation. Property occupies the realm of both fast and slow, where important, high-value decisions that need to be made relatively quickly will leave a lasting impression on the intended use and function of a space.When considering the fundamental levers of commercial real estate, it is essential that a balance is struck between maintaining a strong lease covenant for the landlord and a value for money offering is provided for a tenant.Liminal Property Solutions offers bespoke, unbiased and structured solutions that can address the various factors influencing either side of this equation. With extensive industry experience in property development, project management and commercial architecture, Liminal Property Solutions is able to provide you with flexible, responsive and affordable support services that add value throughout the process.",null,null,null,null
0291887715,2020,null,null,null,null,null,null,"1-5 Link Rd, Zetland, New South Wales 2017, AU",null,null,null,http://www.vincomm.com.au,VIN Commercial,null,null,Public Company,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/vin-commercial/,null,null,null,null,null,null,null,null,"Zetland, New South Wales",null,null,"Vin Commercial is Co-Founded by highly experienced licensed real estate agents Arvin Golchin and Navin Upreti, formally known by the alias; ‘TEAMVIN’ whilst operating for a boutique agency for a number of years.The duo built up a reputable track record of delivering substantial development site sales results across Sydney, predominantly within the Lower and Upper North Shore regions where they ranked No1* for a period of time within Willoughby.This success, coupled with a succession of complex and lengthy acquisitions being put together for developer clientele inspired the confidence to go out on their own. The key driver for this new venture; to add further value to their clientele through a multifaceted service, promising to put the creativity back into commercial real estate.",null,null,null,null
+61405668969,2016,null,null,null,null,null,null,null,null,null,null,http://www.mymovemanager.com.au,My Move Manager,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/my-move-manager/,null,null,null,null,null,null,null,null,"Sydney, NSW",null,null,"My Move Manager (MMM) are highly trusted workplace change and transition management advisors. As consultants to some of Australia’s largest blue-chip companies, MMM aims to establish partnerships with clients, contractors and consultants alike to develop a full understanding of potential obstacles and establish solutions. For us, it’s about putting the right people in front of your people and providing you with a trusted transition advisor that you are more than happy to call “My Move Manager”. MMM is boutique, in which we provide services to the few as opposed to the many. Providing a quality service to our clients is our ethos. We recognise business drivers in our client projects and we are not afraid to challenge assumptions to ensure that every project is delivered successfully. The MMM team have overseen and managed some of Australia’s most prestigious relocations including the Navitas relocation from 17 York St to 255 Elizabeth St Sydney and the Ashurst relocation from Grosvenor Place to 5 Martin Place Sydney. To date, our roles have included, but have not been limited to, conducting file storage audits and reports for the move of over 5,400 staff for Queensland Treasury to formulating the move strategy for all relocation activities into the Westmead Millennium Institute and the Hunter Medical Research Institute. My Move Manager, when experience counts.""Putting the right people in front of your people""",null,null,null,null
null,2012,null,null,null,null,null,null,"307 Murray Street, Perth, WA 6000, AU",null,null,null,http://www.axiacp.com.au,Axia Corporate Property,null,null,Public Company,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/axia-corporate-property/,null,null,null,null,null,null,null,null,"Perth, WA",null,null,"Axia Commercial Property can help you find the right property for sale or for lease throughout Perth, WA. From small retail shop spaces to offices in the CBD area, or warehouses in the suburbs, our experienced property managers have access to wide range of commercial property currently available to suit your business’s needs and wants.Need someone to manage your tenanted property? Our team of Perth property commercial managers can provide a wealth of expertise and knowledge to all asset management areas of commercial property. From retail to industrial, our team can provide a proactive management service to your commercial property in Perth, WA.",null,null,null,null
32160300,2004,null,null,null,null,null,null,"217 Logan Rd, Woolloongabba, Queensland 4102, AU",null,null,null,http://www.chasecommercial.com.au/,Chase Commercial,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/chase-commercial/,null,null,null,null,null,null,null,null,"Woolloongabba, Queensland",null,null,"We help companies to grow their revenues, improve their operational efficiency by sourcing new investment properties in the commercial, industrial and retail property market. Whether you are buying or leasing a new building, selling your existing property or looking for an experienced commercial property management team, you're in safe hands with Chase Commercial.If something needs to be done, we do it and we do it right. The market is competitive and it changes quickly — you need a team of relentless experts who know exactly what’s going on with market rents and yields. As a BRW Fast 100 company with a long list of REIQ awards, this is what we do and love. If you’re a decision-maker who knows what you want and you want it done properly, call our head office on (07) 3216 0300.No two properties are the same — every client we deal with has a tailored strategy specific to their property and their needs. What we don’t do is use a one-size-fits-all ‘templated’ approach. What makes a great property manager and a confident sales and leasing specialist is their ability to qualify and manage multiple people, while also being able to deliver the best possible outcome. Our team excels at listening and understanding the customer, while also adding tangible value to all stakeholders.Contact Us(07) 3216 0300.info@chasecommercial.com.au217 Logan Rd, Woolloongabba 4102www.chasecommercial.com.au",null,null,null,null
03 8639 9100,2000,null,AU,null,"Melbourne, Australia",145.01105,null,"Level 30, 140 William Street, Melbourne, Victoria 3000, AU",null,null,null,http://www.castlerockproperty.com.au,Castlerock Property,null,null,Privately Held,-37.803425,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/castlerock-property/,null,null,null,null,null,null,null,"Level 30, Melbourne, Victoria, 3000, AU","Melbourne, Victoria",Melbourne,null,"Castlerock is driven by one ambition, to give investors control over their financial futures. You can look forward with confidence, knowing everything is in place to reach your financial goals and provide for yourself and your family.Our foundations are built on 18 years of funds management experience, investing in Government-leased office buildings. Our funds are specifically designed to minimise risk, provide greater yields and access to predictable income for long-term capital growth.",null,null,null,null
null,2016,null,null,null,null,null,null,"Level 1, 2 Byres Street, Newstead, QLD 4006, AU",null,null,null,http://www.duganandco.com.au,Dugan & Co Property,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/duganandco/,null,null,null,null,null,null,null,null,"Newstead, QLD",null,null,"Brisbane’s dynamic independent Commercial, Industrial & Retail Real Estate Agency committed to providing personalised expert service to realise your strategic business objectives.Dugan & Co Property specialise in Sales, Leasing & strategic property solutions of Commercial, Industrial and Retail properties in the Australia TradeCoast, North & South Brisbane and surrounding areas. The foundations of Dugan & Co is delivery of personalised expert property advice to achieve the optimum outcome for our clients and develop longstanding relationships.",null,null,null,null
(02) 6248 7411,null,null,null,null,null,null,null,"28 University Avenue, Level 6, CITY, ACT 2600, AU",null,null,null,https://canberra.ljhcommercial.com.au/,LJ Hooker Commercial Canberra,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/ljhccanberra/,null,null,null,null,null,null,null,null,"CITY, ACT",null,null,"About UsAt LJ Hooker Commercial Canberra, we’re proudly of a network offering national solutions for clients navigating the modern business landscape. LJ Hooker Commercial Canberra is one of the largest retail/commercial, industrial and Strata management agencies in the ACT. All aspects of commercial development, planning sales and leasing, management and marketing are covered by our experienced personnel.Our team, has extensive industry experience, providing knowledge and skills across sales, leasing and property management. We utilise this as a platform to benefit our diverse spectrum of clients: ranging from private investors to government departments and ASX-listed companies.We are a team who speaks a broader range of languages including Mandarin, Cantonese, Fijian, Fiji-Hindi, Urdu & Turkish.  We value each and every client at LJ Hooker Commercial Canberra. Our track record has fostered an extensive base of repeat clients who appreciate our determination for premium results. As a business owner-led team, we invest the time and energy to closely understand the objectives and motivations of clients; it’s a personal and professional partnership which helps us secure your specific requirements through tailored solutions. Our office is part of the 30-strong wider LJ Hooker Commercial network stretching across Australia, from Perth to Brisbane, Darwin to Hobart, and key regional markets in between.",null,null,null,null
null,null,null,null,null,null,null,null,"Newcastle , NSW 2291, AU",null,null,null,http://www.yukonprojects.com.au,Yukon Projects,null,null,Privately Held,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/yukon-projects/,null,null,null,null,null,null,null,null,"Newcastle , NSW",null,null,"Yukon Projects is an Australian Property Development Consultancy focusing on client side Development Management and Project Management services. Yukon Projects also offers specialist project strategy, planning, development site acquisitions and commercial leasing services.",null,null,null,null
null,2005,null,null,null,null,null,null,"4-8 Gladstone Street, Marrickville, NSW 2204, AU",null,null,null,http://www.rhc.com.au/southsydney,Raine&Horne Commercial Inner West/South Sydney,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/raine&horne-commercial-south-sydney-marrickville/,null,null,null,null,null,null,null,null,"Marrickville, NSW",null,null,"Raine&Horne Commercial specialise in the sale and lease of commercial & industrial property and development sites.We are members of both the Real Estate Institute of NSW and the Property Council of Australia. Our office focuses on the geographic areas of Sydney’s City Fringe, South Sydney, Inner-West, St George and Canterbury Bankstown. Our agency has established strong market share and a track record of results in these regions, with a database of buyers and network of relevant contacts in this market both current and comprehensive. Through the Raine&Horne network’s 30 specialist commercial agencies we are able to provide exposure to customers nationally.",null,null,null,null
null,2018,null,AU,null,Newport On Main,153.40938,-33.84907,null,null,null,null,http://www.imperium-pm.com,Imperium Hotel Group,null,Aurora Place,Privately Held,-27.994457,Collins Square Tower Five,null,null,-37.803425,Sydney,2-10 employees,null,https://www.linkedin.com/company/imperium-hotel-group-pty-ltd/,null,null,null,null,null,null,"88 Phillip Street, Sydney, NSW, 2000, AU","3655 Main Beach Parade, Mainbeach, QLD, 4217, AU","Sydney, NSW",Mainbeach,145.01105,"Imperium Project Management Pty Ltd was established in 2018 by Peter Keenan who has over 25 years experience within the hotel and entertainment sectors, previously holding executive roles for both global property organisations and local Australian construction firms. In addition, company Director Catherine Hyland has over 18 years experience in client side project management, possessing broad experience across various sectors of the market including hotels, residential, aged care, public domains and education. With over 40 years’ combined knowledge and experience, our team have been involved with some of the most prominent and iconic hospitality and entertainment properties. Imperium is an independent property firm who honestly and passionately represent the best interests of our clients, whilst managing successful outcomes for our Clients.  We will fully integrate with your business to meet your key objectives and achieve the best commercial outcomes. We pride ourselves on representing our Clients’  with integrity and accountability and provide a hands-on approach with clear lines of communication. When working with Imperium, you will be engaging a truly professional and specialist management firm that negotiates and effectively manages the vested interests of all stakeholders without fear or favour for both our local and international clients. OUR SERVICESImperium is able to assist with deal advice and transactional services including:• Transaction identification• National and international marketing• Production of marketing material• Negotiation of optimal outcomes for Clients• Preparing “Confidentiality Agreements”• Operator engagements• Preparation of IM documents• Provide marketing videos• Provide concept advice & design reviews",151.13834,null,Melbourne,"727 Collins Street, Melbourne, VIC, 3008, AU"
+61419742467,2018,null,null,null,null,null,null,"Cronulla St, Cronulla, New South Wales 2230, AU",null,null,null,https://enginesofwealth.com/,Engines Of Wealth,null,null,Partnership,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/engines-of-wealth/,null,null,null,null,null,null,null,null,"Cronulla, New South Wales",null,null,"Engines Of Wealth is a company with a team of Buyer's Agents, experienced in building wealth through investing in commercial retail shops and Managed Property Trusts.  They captured their 30 years of knowledge in commercial property investing into a popular book that resulted in hundreds of clients seeking the authors' advice to help them understand and invest in this asset class.The book Engines of Wealth, provides a step-by-step guide to building a commercial property portfolio that leverages your savings to create a long-term positively-geared cashflow.  As Buyer's Agents, Phillip and Stephen lead a team that help investors secure and manage individual retail shops or acquire shares in neighbourhood centres through a Managed Property Trust.In the 6 months to March 2020 the Engines of Wealth team secured over $16 million in commercial properties for 20 clients.  Since the COVID shutdown in April 2020 the commercial market has changed, as a result we pursue COVID resistant tenants in neighbourhood shopping and medical centres.  At times we find an ideal property that is well suited to a Managed Property Trust.  Our Trusts offer a passive investment that provides investors security and rental redundancy across 10-15 tenants.  We will soon launch a Trust whereby our clients will secure a share in a strong performing medical centre in the Sunshine Coast.Contact Phillip or Stephen through our website to learn more.",null,null,null,null
null,2016,null,AU,null,Freedom Suites Paddington,153.01831,null,"149 Caxton St, Milton, Queensland  AU",null,null,null,http://www.freedomsuites.com.au,Freedom Suites Australia,null,null,Privately Held,-27.47126,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/freedom-suites-australia/,null,null,null,null,null,null,null,"149 Caxton St, Milton, Queensland, null, AU","Milton, Queensland",Milton,null,"At Freedom Suites we provide beautiful, ready to move-in, salon suites along with the assistance and support you require to run your own freelance Hair or Beauty business. Working alongside a community of like-minded professionals, we can empower you to take the first steps towards living the life you’ve always dreamed of.Our salon suites freelancers choose when they work and how they work. In upmarket, easy to access locations with plenty of car parking you will have 24/7 access to your suite enabling you to enjoy the freedom of working the hours that suit you and your clients. You can grow your unique brand in your own boutique space, set your schedule and prices, use your preferred professional products and escape the dramas of a salon or home environment.Combine this with a break-out room, kitchen (with a real coffee machine! and other physical amenities and you have everything you need to get started today.The first of its kind in Australia, Freedom Suites appoints all studios with the highest-quality fixtures, tailored to the meet the specialized needs of today’s modern hair and beauty professionals.",null,null,null,null
null,1988,null,AU,null,The Trust Building,151.13834,null,"Cnr of King and Castlereagh Streets, Sydney, New South Wales 2000, AU",null,null,null,https://www.graafgroup.com,GRAAF Group,null,null,Privately Held,-33.84907,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/graaf-group/,null,null,null,null,null,null,null,"Cnr of King and Castlereagh Streets, Sydney, New South Wales, 2000, AU","Sydney, New South Wales",Sydney,null,"GRAAF is a family owned group of companies active in properties, luxury fashion and services with offices in Europe and Australia with assets in excess of $140M. Over the past 30 years we have built up a very experienced  and motivated team of over 70 staff globally, fuelled by vision, dedication and with the objective to deliver results. The GRAAF Group offers services in both Property and Fashion markets including those listed below.PROPERTY:​Property AcquisitionProperty  Transformation Design ConceptsVisual Presentations & Rendering Marketing Introductions - Seller/BuyerFASHION:​Retail consultantsWholesaleBusiness Models ProcurementMarketing Stategies",null,null,null,null
