Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Country
TrainSmart Australia (RTO 51771),null,"TrainSmart Australia was established in 2007 and has been delivering high quality, superior training to thousands of people across Australia.  We offer Diploma level and Certification courses in a variety of vocational subjects.We are a well-respected and established Registered Training Organisation approved by the Australian Skills Quality Authority (ASQA) and excel in delivering a first class standard of training, which is both educational and vocational. We encourage and mentor our students throughout their learning journey, and provide them with an exemplary level of support so they can be assured of successful outcomes.All our trainers are selected because of their extensive experience in their field or industry.  TrainSmart Australia is committed to encouraging and nurturing students so they reach their full potential. Our qualifications are suitable for professionals who want to upskill or change role, job seekers looking for a fresh challenge or school leavers who are taking that first step towards studying for their chosen career.Jobs and Skills WA FundingAs our economy grows and diversifies, the future outlook for jobs is constantly changing. Jobs and Skills WA is the way the State Government prioritises its investment in training to focus on courses that help people to take up jobs that are, or will be, in high demand. TrainSmart Australia is proud to be on the panel of approved providers for the Jobs & Skills WA program. Are you a resident of Western Australia? You may be eligible for WA subsidised training place. For detailed information including priority industry courses and fees, please visit https://www.tsa.edu.au/funding-options/jobs-and-skills-wa and https://www.jobsandskills.wa.gov.au/Ring us today on 1300 855 517 or email us at info@tsa.edu.auSMR Learning Services Pty LtdTrading as:TrainSmart AustraliaHew Horizons Learning Centre (Perth)RTO code 51771",1300 855 517,Higher Education,11-50 employees,http://www.tsa.edu.au/,"Perth, WA",Privately Held,null,https://www.linkedin.com/company/trainsmart-australia/,"815 Pacific Hwy, Chatswood NSW 2067, Australia",-31.89792057,151.1220035,null,null,"Level 9 &, 12/251 Adelaide Terrace, Perth WA 6000, Australia",-30.08984655,115.526301,null,null,null,null,null,null,null,null,null,null,null,null,null
Diversity Australia,"1 Macquarie Pl, Sydney, New South Wales 2000, AU","Diversity Australia is a leading professional services firm specialising in diversity and cultural change in Australia and Internationally. We are passionate about building strategies that promote an inclusive culture and diverse workforce across all organisations to set a new standard for Diversity Globally.

Since our creation we have developed an extensive global client list across a range of industries, including many NSX and ASX Top 20 global companies.

Diversity Australia works closely with our clients to create firm-specific diversity strategies and programs, underpinned by our knowledge of global best practice.

Diversity Australia uses a five phase process model to guide organisations through the cultural change process, allowing the organisation to create and sustain its own inclusive culture.",null,Education Management,11-50 employees,http://www.diversityaustralia.com.au,"Sydney, New South Wales",Educational Institution,null,https://www.linkedin.com/company/diversityaustralia/,"Gateway Building, 1 Macquarie Pl, Sydney NSW 2000, Australia",-33.861995,151.2098781,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Partners in Training Australia,null,"Partners in Training contact: info@ptaust.com.au | 1300 664 601 | 03 5821 8577 or visit: www.partnersintraining.edua.au. 

Partners in Training is a family owned and operated vocational education and training organisation that has provided high quality education across Australia for close to a decade. 

We have particular expertise in the Community Services and Health industries with Aged Care, Early Childhood Education and Nursing the most popular qualifications undertaken by our students. We also offer training in Community Service, Hair & Beauty, Business, Foundation Skills and Training and Assessment. 

So that we can offer our students diverse learning options, we are always focused on exploring related training opportunities. We specialise in customising training to workplace needs making nationally accredited training relevant, progressive and responsive. 

We offer a variety of funding opportunities through State and Federal funding for eligible students. We also provide access to VET-FEE HELP for eligible students in eligible qualifications, allowing you to study now and pay later, putting your education first. 

Partners in Training offer flexible training options. We deliver training in the workplace or at a conveniently located venue. Alternatively, study at one of our campuses that offer clinical laboratories and simulated workplace environments.

We are located throughout Victoria with offices in Melbourne, Morwell, Sale, and Shepparton.

Melbourne Campus: Level 2/21 Moray Street, Southbank, Victoria 3006

Morwell Campus: 29-31 Rintoull Street, Morwell, Victoria 3841

Sale Campus: Level 1/111 Raymond Street, Sale, Victoria 3853

Shepparton Campus (Head Office): 7 Telford Drive, Shepparton, Victoria 3630

RTO Number 21837",null,Education Management,51-200 employees,http://www.partnersintraining.edu.au,"Southbank, Victoria",Educational Institution,null,https://www.linkedin.com/company/partners-in-training-australia/,"Level 1/111 Raymond Street, Sale, Victoria, 3850, AU",-38.107437,147.0659,Sale,Sale Campus,"7 Telford Drive, Shepparton, Victoria, 3630, AU",-36.368217,145.40341,Shepparton,Head Office & Shepparton Campus,"Level 2, 21 Moray Street, Southbank, Victoria, 3006, AU",-37.820652,144.96527,Southbank,Melbourne Campus,"29-31 Rintoull Street, Morwell, Victoria, 3840, AU",-38.2345,146.39453,Morwell,Morwell Campus,AU
Australian Lutheran College,"104 Jeffcott Street, North Adelaide, SA 5006, AU","Australian Lutheran College provides foundational and advanced theological education, including pre-service programs for ministry preparation and in-service programs for professional growth and leadership development.We deliver Higher Education awards as a college of the University of Divinity and Vocational Education and Training qualifications as a member college of the Australian Centre for Advanced Studies.",+61 8 7120 8200,Higher Education,11-50 employees,https://alc.edu.au,"North Adelaide, SA",Educational Institution,null,https://www.linkedin.com/company/australian-lutheran-college/,"104 Jeffcott St, North Adelaide SA 5006, Australia",-34.9089566,138.5931993,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
The Royal Australian and New Zealand College of Ophthalmologists (RANZCO),"94-98 Chalmers Street, Surry Hills, Sydney, NSW 2131, AU","The Royal Australian and New Zealand College of Ophthalmologists (RANZCO) is the medical college responsible for the training and professional development of ophthalmologists (medical eye specialists) in Australia and New Zealand.

Our mission is to drive improvements in eye healthcare in Australia, New Zealand and the Asia-Pacific region through continuing exceptional training, education, research and advocacy.

Underpinning all of our work is a commitment to, best patient outcomes, evidence based decision making, collaboration and collegiality. As such, we are responsible for training, examining and representing ophthalmologists of the highest order. This includes maintaining a Continuing Professional Development (CPD) system, organising scientific congresses and much more.

Connect with us:

www.facebook.com/RANZCOeyedoctor
twitter.com/RANZCOeyedoctor",null,Education Management,11-50 employees,http://www.ranzco.edu,"Sydney, NSW",Nonprofit,null,https://www.linkedin.com/company/the-royal-australian-and-new-zealand-college-of-ophthalmologists/,"94-98 Chalmers St, Surry Hills NSW 2010, Australia",-33.8861463,151.2070643,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
George Brown College Australia,"56-58 York St, Sydney, NSW 2000, AU","George Brown College is a vocational college based in Sydney, Australia. Our focus s continuous improvement – this means we continually look for ways to improve student satisfaction with all parts of our training courses including marketing, recruitment, orientation, training delivery, assessment, evaluation and support services.",null,Education Management,11-50 employees,http://georgebrown.nsw.edu.au/,"Sydney, NSW",Educational Institution,null,https://www.linkedin.com/company/george-brown-college-australia/,"56-58 York St, Sydney, NSW, 2000, AU",-33.84907,151.13834,Sydney,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Times Education Group Australia,"LG, 101 Sussex Street, Sydney, NSW 2000, AU","Times Education Group Australia (Times Education) controls and operates five Australian accredited Vocational and English colleges in Sydney, Australia. As an integrated group, Times Education focuses on training, consulting, resource development, project planning and promoting an advanced educational philosophy in the Australian vocational and language education industry.

Times Education has collaborated and partnered with a number of overseas education and training institutions as well as higher education providers since its establishment.",null,Education Management,11-50 employees,http://www.timesedu.com.au,"Sydney, NSW",Privately Held,null,https://www.linkedin.com/company/times-education-group-australia/,"LG, 101 Sussex Street, Sydney, NSW, 2000, AU",-33.84907,151.13834,Sydney,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Precision Industries Australia,"Unit 5, 10 Lincoln St, Minto, NSW 2027, AU","Precision Industries Australia (Pi) are a Government approved supplier, installer and service provider of audio visual and technology solutions, having completed work in each of our core business units for numerous departments within the Government such as Public Education, TAFE, Industrial Relations, Public Works and Asset Management.

Pi provides quality service, the latest technology and a vision that enables our clients and product partners to communicate their requirements whilst Pi facilitates the end to end solution to match those requirements. Pi has built lasting relationships across all levels of Government, Education and the corporate sectors.

Pi employ a diverse group of talented and loyal individuals with skills in audio, video, projection, IT, VC, teaching/ training, project management, installations, sales and customer support. Every piece of equipment we sell, and every service we provide, comes with unsurpassed knowledge and years of experience. While our equipment is the top of the line, it is our people who make Pi a leader in our field.",null,Education Management,11-50 employees,http://www.precisionindustries.com.au,"Minto, NSW",Privately Held,null,https://www.linkedin.com/company/precision-industries-australia/,"5/5 Merryvale Rd, Minto NSW 2566, Australia",-34.0256787,150.8356042,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Option Education,null,"Australian Option es una empresa líder en el área de estudios en el exterior.

 Nuestro compromiso es asesorar de manera integral y objetiva a estudiantes latinoamericanos que deseen estudiar y vivir en Australia. Representamos a las más prestigiosas universidades e institutos educativos en Australia",null,Education Management,51-200 employees,http://www.australianoption.com,"Melbourne, Victoria",Privately Held,null,https://www.linkedin.com/company/australian-option-education/,"Suite 604/343 Little Collins St, Melbourne VIC 3000, Australia",-37.8154536,144.9634297,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Medical Deans Australia and New Zealand,"261 George St, Sydney, New South Wales 2000, AU","Medical Deans Australia and New Zealand Inc (Medical Deans) is the peak body representing professional entry-level medical education, training and research in Australia and New Zealand. Our members are the 23 medical schools across the two countries, whose focus is on planning for, developing and supporting the medical graduate workforce our communities need.Medical Deans works to ensure the quality, breadth and rigour of our medical teaching and training remains among the best in the world, and advocates for and contributes to effective policies to improve medical education and support research to improve the health of all people in Australia and New Zealand.",null,Higher Education,2-10 employees,http://www.medicaldeans.org.au/,"Sydney, New South Wales",Nonprofit,null,https://www.linkedin.com/company/mdanz/,"15 Courtenay Street, New Plymouth 4310, New Zealand",-39.058149,174.0751048,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Study in Perth, Study in Australia","Perth, Perth, WA 6000, AU","STUDY IN PERTH – THE MOST TRUSTED EDUCATION AGENT. DO NOT WASTE MONEY WITH OUTHER AGENTS 
Study in Perth provides free education advise, consultation, and guidance for all current and prospective international students in finding the right future path for each individual.
Study in Perth co-operates with all educational institutions across Western Australia and it provides free advice and guidance in education, study, course selection, preparation to study in Australia, career options and professional mentoring program.
We placed more than 1500 students in the last 8 years and most of them are our friends making the best recommendations and testimonials for our professionalism. 
Study in Perth has the most comprehensive range of student services you could possibly get in Western Australia. We provide free education advice, consultation, and guidance for all current and prospective international students in finding the right future path for each individual ranging from career advice to student mentoring.",null,Education Management,2-10 employees,http://www.study-in-perth.com.au,"Perth, WA",Privately Held,null,https://www.linkedin.com/company/study-in-perth/,"Perth, Perth, WA, 6000, AU",-31.939821,115.8162,Perth,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Shichida Australia,null,Shichida Australia is an education management company based out of Australia.,null,Education Management,null,http://shichida.com.au,null,null,null,https://www.linkedin.com/company/shichida-australia/,"01-19 Blok F Komersil Southkey Mosek, Persiaran Southkey 1, Kota Southkey, 80150 Johor Bahru, Johor, Malaysia",1.4969217,103.7756857,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Technical College Western Australia - RTO Code-41279,"8 Francis St. Perth, WA 6000 Australia, Perth, WA 6000, AU","Australian Technical College Western Australia (ATCWA) situated in Perth, Western Australia is a trusted place to study for overseas and domestic students. Perth Technical College Pty Ltd (PTC) trading as Australian Technical College Western Australia (ATCWA) is a registered training organization (RTO code: 41279) which provides courses in hospitality and business management domains. ATCWA has accreditation from ACPET (Australian Council for Private Education and Training), the Australian Government (Australian Skills Quality Authority) and CRICOS (Commonwealth Register for Institutions and Courses for Overseas Students).ATCWA’s management and faculty members are well reputed in the field of education with profound knowledge about the specific domains. Class sizes are small to moderate with 8 to 15 students. The classes are conducted by efficient and experienced trainers. The conducive atmosphere helps the students to develop the skills required to succeed in their profession.We have students from all over the globe that creates a diverse culture. The starting dates of the courses are plentiful, which allows pupils to enroll with flexibility.",null,Education Management,11-50 employees,http://atc.wa.edu.au,"Perth, WA",Educational Institution,null,https://www.linkedin.com/company/atcwa_erth/,"8 Francis St. Perth, WA 6000 Australia, Perth, WA, 6000, AU",-31.939821,115.8162,Perth,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australian VET Quality Practitioners and Consultants'​ Association,"PO Box 1838  OSBORNE PARK WA 6916, Perth, Western Australia 6000, AU","The Association was formed to ensure the professionalism and integrity of affiliates within the vocational education and training sector through a not for profit registration body for representatives who support, advise and work within public and private vocational education and training.",null,Education Management,2-10 employees,null,"Perth, Western Australia",Nonprofit,null,https://www.linkedin.com/company/australian-vet-quality-practitioners-and-consultants'-association/,"PO Box 1838  OSBORNE PARK WA 6916, Perth, Western Australia, 6000, AU",-25.574999,134.3547,Perth,"National Body (Head Office Perth, Western Australia)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Technion Australia,"New South Head Rd, Sydney, New South Wales 2028, AU","Technion Australia is part of a worldwide family of Technion Societies which support and actively participate in Technion activities and developments. Founded in 1957, it aims to:- share with the world the cutting edge achievements and life changing applications discovered and developed by Technion students and alumni- create a virtual and physical bridge between Australia and Israel, with particular focus on scientific, medical, environmental and technology sectors- promote public awareness and knowledge of the Technion.- foster academic and scientific exchange between Australia and the Technion.- encourage and facilitate student exchange between Australian universities and the Technion.- aid the development and sustainability of the Technion through fundraising, including the provision of scholarships and funding of joint research projects.- assist in the dissemination of Technion knowledge and foster joint projects with Australian commerce and industry.- establish a vibrant and enduring membership and volunteer structure.",null,Higher Education,2-10 employees,https://www.austechnion.com/home,"Sydney, New South Wales",Nonprofit,null,https://www.linkedin.com/company/technion-australia/,"PO Box 1554, Double Bay NSW 1360",-33.87710117,151.241336,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Skills Australia Institute RTO52010,null,"At SAI, we empower students to DREAM the impossible, SEEK the unknown and ACHIEVE greatness.SAI is committed to offering our students a memorable educational experience that will produce social and employment opportunities. Our industry-experienced, vocationally competent and dedicated trainers are committed to providing an exceptional and inimitable learning experience using outstanding learning material. Your classes will be facilitated in a state-of-the-art well-equipped facility and in prime CBD location. Make the choice to change your life by allowing SAI to facilitate the beginning of your life-long learning journey. Come with us to embark on a life-changing experience!",+61 8 6148 1300,Education Management,11-50 employees,http://www.skillsaustralia.edu.au,null,Educational Institution,null,https://www.linkedin.com/company/skillsaustraliainstitute/,"10 Victoria Ave, Perth WA 6000, Australia",-31.95708,115.865969,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Kirana Colleges Australia - KCA,"269 Sussex St, Level 2 & 3, Sydney CBD, New South Wales 2000, AU","At Kirana Colleges Australia (KCA), we believe today’s learners are the leaders of tomorrow. We help you discover your passion to reach your full potential by coaching you to develop the right skills to be successful both personally and professionally. Our quality-first approach ensures we work with reputable industry partners to continuously design courses to the highest of standards which are delivered by passionate educators.",1300854011,Education Management,11-50 employees,https://kca.edu.au/,"Sydney CBD, New South Wales",Privately Held,null,https://www.linkedin.com/company/kirana-colleges-australia/,"8 Figtree Dr, Sydney Olympic Park NSW 2127, Australia",-33.8504442,151.0699162,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Training Company,"30-32 Pomeroy Street, Homebush, NSW 2137, AU","Australian Training Company (ATC) is a leading provider of business solutions through the creation of education, employment and training opportunities. ATC engages over 1200 apprentices, trainees and students each year and operates in all eastern states and territories of Australia, with the capacity to provide services nationwide.  ATC is an accredited Group Training Organisation (GTO) and a Registered Training Organisation (RTO).ATC is a not-for-profit organisation whose focus is to promote workforce participation and encourage engagement with education and learning.ATC recognises the importance of an individual's aspirations and the need to match these aspirations to the right opportunity.ATC remains attentive to clients'​ needs and differentiates itself by ensuring all of its services deliver significant benefits and values to its clients. Communication, loyalty, engagement and retention are hallmarks of ATC's service delivery.In an ever changing environment ATC is open to achieving its objectives through the development of strategic alliance, business partnerships and adapting to emerging markets.",null,Education Management,"501-1,000 employees",http://www.austrg.com.au,"Homebush, NSW",Nonprofit,null,https://www.linkedin.com/company/australian-trainng-company/,"30-32 Pomeroy St, Homebush NSW 2140, Australia",-33.8601098,151.0816832,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Fire Tech Australia,"232 Stirling St, Perth, Western Australia 6160, AU","Firetech is a leading specialist tech course provider in Australia and the UK. Empowering kids to create, not just consume, technology. Firetech provides our next generation with the skills to do just that, with creative courses in programming, engineering and creative media design. Firetech delivers hands-on technology courses to 6-17 year olds that cover coding, robotics and the digital arts. All courses are taught in small class sizes by specialist instructors and designed to kick start creativity and innovation.Products:Tech Courses, Rapid Learning, Long-Term Courses, School Incursions, Professional Development, Day Camps, Innovative and Creative Workshops,Empower your young people to create with technology! Let’s Make the Future!www.firetech.wa.edu.au",1300 347 383,Education Management,2-10 employees,http://www.firetech.wa.edu.au,"Perth, Western Australia",Privately Held,null,https://www.linkedin.com/company/firetech-au/,"50 Bukit Batok Street 23, Singapore 659578",1.3393183,103.7572868,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Saudi Arabian Cultural Mission in Australia,"Canberra,   AU",null,null,Education Management,null,null,null,null,null,https://www.linkedin.com/company/saudi-arabian-cultural-mission-in-australia/,"null, Canberra, null, null, AU",-25.574999,134.3547,Canberra,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Uplift Education Australia,"149-151 George St, Liverpool, New South Wales 2170, AU",Our mission is serve the learning needs of our local secondary high school student community by boosting academic confidence and success in Years 7- 13 HSC school courses.,null,Education Management,11-50 employees,http://http:/www.uplifteducation.edu.au,"Liverpool, New South Wales",Educational Institution,null,https://www.linkedin.com/company/uplift-education-australia/,"149-151 George St, Liverpool, New South Wales, 2170, AU",-33.84907,151.13834,Liverpool,Uplift Education Liverpool CBD Campus,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
The Pharmaceutical Society of Australia,"17 Denison St, Deakin, Australian Capital Territory 2600, AU","PSA is the only Australian Government-recognised peak national professional pharmacy organisation representing all of Australia’s 31,000 pharmacists working in all sectors and across all locations.PSA is committed to improving Australia’s health through excellence in pharmacist care. PSA believes the expertise of pharmacists can be better utilised to address the health care needs of all Australians.PSA works to identify, unlock and advance opportunities for pharmacists to realise their full potential, to be appropriately recognised and fairly remunerated.PSA has a strong and engaged membership base that provides high-quality health care and are the custodians for safe and effective medicine use for the Australian community.PSA leads and supports innovative and evidence-based healthcare service delivery by pharmacists. PSA provides high-quality practitioner development and practice support to pharmacists and is the custodian of the professional practice standards and guidelines to ensure quality and integrity in the practice of pharmacy. see less",null,Higher Education,51-200 employees,https://www.psa.org.au/,"Deakin, Australian Capital Territory",Educational Institution,null,https://www.linkedin.com/company/the-pharmaceutical-society-of-australia/,"2985, Jalan Bukit Merah, #02 Singapore Manufacturing Federation, 2B, Singapore 159457",1.2819609,103.8220052,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Rural Leadership Foundation,"24 Napier Close, Deakin West, ACT 2600, AU","We are a not-for-profit organisation that delivers leadership development programs for rural, regional and remote Australia.We have a diverse network of over 1,600 influential leaders in all levels of primary industry, infrastructure, government, health, the arts, the environment, private enterprise, and community service across Australia. Vision: Outstanding regional and rural leadership.Mission: To foster and exercise leadership for positive impact  Values: Courageous, influential and ethical leadership for the greater good of regional, rural and remote Australia.",61262810680,Education Management,11-50 employees,https://www.rural-leaders.org.au,"Deakin West, ACT",Nonprofit,null,https://www.linkedin.com/company/australian-rural-leadership-foundation/,"24 Napier Cl, Deakin ACT 2600, Australia",-35.3228734,149.0968511,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
The Hotel School Australia,null,"Celebrating over 30 years of academic excellence, The Hotel School is the only hotel school in Australia formed through a unique partnership between Southern Cross University and Mulpha Australia, a global hotel investment group. Students benefit from a truly unique university and internship experience across three CBD campuses in Sydney, Melbourne and Brisbane locations as well as Hayman Island Resort and online.The Hotel School delivers: •	Diploma of Hotel Management•	Bachelor of Business in Hotel Management•	Graduate Certificate of Business in Global Hotel Leadership•	Graduate Diploma of Business in Global Hotel Leadership•	Master of Business in Global Hotel Leadership Graduate Certificate•	International Hotel and Tourism Management ProgramThe Hotel School programs focus on hotel operational skills, management practice in the tourism and hospitality industry and the skills needed for continued learning in a changing global business environment. Additional focus in the three-year Bachelor of Business in Hotel Management degree includes management practice in hospitality industries and the skills needed for employment in a competitive, changing, global business environment. The unique benefits of studying at The Hotel School, include learning from industry specialists, global networking, plus opportunities to complete internships in both Australian and overseas 5-star hotels and resorts.",null,Higher Education,51-200 employees,https://hotelschool.scu.edu.au/,"Sydney, NSW",Educational Institution,null,https://www.linkedin.com/company/thehotelschoolaustralia/,"60 Phillip St, Sydney NSW 2000, Australia",-33.8642529,151.211935,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Le Cordon Bleu Australia-Sydney,"250 Blaxland Road, Ryde, New South Wales,  2112, AU","Within Australia, Le Cordon Bleu's prestigious qualifications in culinary arts and hospitality management enable graduates with the right blend of passion, drive and commitment to reach the top of their profession.Graduates of Le Cordon Bleu become part of a culinary tradition of excellence and earn the recognition that comes with a Le Cordon Bleu qualification. As a graduate, you will have an advanced diploma that will elevate you above the rest in a challenging but rewarding industry.Masters Degrees- Le Cordon Bleu Master of Gastronomic Tourism- Master of International Hospitality ManagementBachelor of Business- International Hotel Management- International Restaurant ManagementCulinary Arts- Advanced Diploma of Hospitality (Commercial Cookery) or (Pâtisserie)- Diplôme de Cuisine - Certificate III in Commercial Cookery- Diplôme de Pâtisserie - Certificate III in PâtisserieEnglish Course- English For Hospitality",+ 61 2 8878 3100,Higher Education,201-500 employees,http://www.lecordonbleu.com.au/sydney/home/en,null,Educational Institution,null,https://www.linkedin.com/company/le-cordon-bleu-australia-sydney/,"250 Blaxland Rd, Ryde NSW 2112, Australia",-33.8072185,151.1044098,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Internship in Australia,"Surry Hills, Sydney,   AU","We provide professional internships in Australia for university students and recent graduates in all industries and fields of interest.

We place interns within organisations best suited to their expertise, striving to deliver total reward packages that truly serve as a platform for their future careers.

For our host organisations, we provide highly capable and motivated interns that are suited to both the industry and the culture of their workplace.",null,Education Management,2-10 employees,http://www.internshipinaustralia.com,null,Educational Institution,null,https://www.linkedin.com/company/internship-in-australia/,"1/20 Park Rd, Milton QLD 4064, Australia",-27.4706073,153.0049239,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Early Learning Association Australia,"145-163 Smith St, Melbourne, VIC 3065, AU","Early Learning Association Australia (ELAA) represents the interests of more than 200,000 children and their families. We are the peak organisation promoting the voice of parents in quality early childhood education for Victorian children. ELAA provides support and resources relating to governance, management and community participation in line with Vision 2011, our vision for the strategic development of early childhood education. ELAA members include over 1100 early education and care providers such as independent kindergartens, cluster managers, long day care services and local governments.",null,Education Management,11-50 employees,http://www.elaa.org.au,"Melbourne, VIC",Nonprofit,null,https://www.linkedin.com/company/early-learning-association-australia/,"Level 3/145 Smith St, Fitzroy VIC 3065, Australia",-37.804578,144.9827359,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australia Indonesia Youth Exchange Program (AIYEP),"Canberra,   AU","AIYEP is a one-of-a-kind, highly successful youth cultural exchange program marking its 38th year in 2019. Eighteen young Indonesians aged 21-25 spend two months (October to December) in Australia annually undertaking work placements, homestays, cultural performances and visits to local schools and communities. Eighteen young Australians undertake a similar program in Indonesia with their Indonesian counterparts from December to February annually.AIYEP aims to provide opportunities for young Indonesians and Australians to gain a deeper understanding of the culture, development and way of life of each other's country. AIYEP alumni form a vibrant group whose members have gone on to work in areas with a continuing involvement in the Australia-Indonesia bilateral relationship, including in government, industry and the non-profit sector.",null,Education Management,2-10 employees,http://www.afs.org.au/aiyep,null,Educational Institution,null,https://www.linkedin.com/company/australia-indonesia-youth-exchange-program-aiyep/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Get Qualified Australia,"Level 28, 320 Pitt Street, Sydney, NSW 2000, Sydney, NSW 2000, AU","Get Qualified Australia is the number 1 provider of Skills Assessment and Recognition of Prior Learning (RPL) solutions in Australia.

Offering over 500 nationally recognised qualifications across 30 industries, GQA has helped over 12,500 Australians achieve the qualification their skills and experience already deserve.

You can be one of them! Learn more about the process, and see what qualifications you can get by visiting our website: http://www.gqaustralia.com.au/

You can also check if you're eligible for RPL by taking our 3-Minute Free Skills Review: http://bit.ly/FreeSkillsReviewLI",null,Education Management,51-200 employees,https://www.gqaustralia.edu.au/,"Sydney, NSW",Educational Institution,null,https://www.linkedin.com/company/get-qualified-australia/,"Level 28, 320 Pitt Street, Sydney, NSW 2000, Sydney, NSW, 2000, AU",-33.84907,151.13834,Sydney,Sydney Head Office,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
ELTHAM College (Australia),"1660 Main Road, Eltham, Victoria 3095, AU","ELTHAM is a school unlike any other. We’re constantly adapting to the changing needs of young people and their world. We support them on a journey of self-discovery to unlock their talents through one of Victoria’s broadest curriculums. Most importantly, our teachers guide each young person to become empowered with the self-confidence and independence to manage all aspects of their future lives. 

We aim for our graduates to step into life after school as pro-active young people equipped with the skills and desire to continue successful learning. And while we’re achieving these serious aims, we’re determined to have fun at the same time! Not only do we make learning exciting and relevant to life, we also create a very different and liberating environment where teachers and students share trust and friendship and work together in mutual respect. 

We’re an independent, coeducational, Early Learning - Year 12 school. We’re also proud to be non-selective - we welcome students of all backgrounds, talents and abilities.",null,Education Management,51-200 employees,http://www.elthamcollege.vic.edu.au,"Eltham, Victoria",Educational Institution,null,https://www.linkedin.com/company/eltham-college-of-education/,"1660 Main Rd, Research VIC 3095, Australia",-37.7002078,145.192891,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Busy Bees Australia,"34 Station St, Nundah, Queensland 4012, AU","There’s really something special about a Busy Bees child and it’s because we do things differently.While Busy Bees Australia, as the name suggests is Australian focused, our early learning services are a part of UK-based, global early childhood education operator Busy Bees.  This enables us to draw upon the best early learning practices from around the world.  Our innovative approach is based on the discovery and exploration of respectful relationships with children. We provide exciting opportunities and challenges for children to play and develop and we nurture individuality, helping each child to move at their own pace, in their own way. It is our absolute mission to deliver high-quality childcare and exciting learning opportunities for every child, giving them the best head start as they prepare for school. At Busy Bees, we’re really proud to be part of a global success story. We achieve this working to the highest standards and by keeping our values at the heart of what we do and who we are.Care:  We nurture children through their critical early years with warmth, respect, and dedication.Quality:  We set and maintain very high standards because that’s what our children and parents deserve.Value: We always provide outstanding value for money.Service: We’re an integral part of parents’ support networks.With all of this being said, the best early learning comes from a professional and dedicated team. Our network of Teaching Practitioners, Educators and our wider support teams are passionate, talented and respectful. The teams we’ve put together build strong, positive relationships and take pride in their work. The team caring for all Busy Bees children are well trained, aligned with best practice, and motivated to do more. That’s how we provide the outstanding quality education and care that every child deserves.If you are looking for a position in early learning, an exciting challenge, or you're looking for a more rewarding career,  why not consider working for Busy Bees Australia? At Busy Bees we have a wide range of opportunities for careers in early learning to both challenge and fulfil your working life.Often people think of early learning services as only offering job vacancies working with children, however; due to the ongoing growth of our organisation we are often looking for support staff,  administrators, finance staff, managers and a whole host of other career skill sets.No matter if you have worked in the early learning environment for many years, or are simply looking to start a new chapter in your career path, we encourage you to get in touch with your local Busy Bees Service to see if we have any vacancies for you to come and join the team. Alternatively, you can also contact our Recruitment team by email (recruit@busybees.edu.au) to discuss current opportunities within the wider Busy Bees Australia team.",null,Education Management,"501-1,000 employees",https://busbees.edu.au,"Nundah, Queensland",Educational Institution,null,https://www.linkedin.com/company/busybees-au/,"11 &, 15 Faculty Ave, Singapore 639977",1.3477643,103.6833526,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
